End of Inspection,Plant,Region,Supplier,,Inspection Lot No.,Quantity (USG),"010A COLOR, SAYBOLT","010B COLOR,",100C TOTAL ACID NUMBER MG KOH/G,110A AROMATICS % VOL,130 MERCAPTAN SULFUR,140 DOCTOR TEST,150A SULFUR - OXYGEN BOMB %(M),150B TOTAL SULFUR %(M),150D SULFUR - X-RAY %(M),150E TOTAL SULFUR %(M),150F SULFUR - X-RAY FLUORESCENCE %(M),"150G SULFUR, TOTAL  %(M)","150IPA SULFUR, TOTAL",160A HYDROGEN CONTENT %(M),160B HYDROGEN CONTENT %(M),160E HYDROGEN CONTENT,020 APPEARANCE,200A TEST METHOD D86,200B TEST METHOD D2887,201 DIST TEMP:  INITIAL BOILING POINT,202 DIST TEMP:  10% EVAPORATED,203 DIST TEMP:  20% EVAPORATED,204 DIST TEMP:  50% EVAPORATED,206 DIST TEMP: 90% EVAPORATED,021 APPEARANCE,211 DIST TEMP: FINAL BOILING POINT,213 DIST TEMP: RESIDUE,214 DIST TEMP: LOSS,220A FLASH POINT,220B FLASH POINT,220C FLASH POINT,220IPA FLASH POINT,230A DENSITY @ 15蚓 KG/L,230B SPECIFIC GRAVITY @ 60/60蚌  KG/L,231B API GRAVITY - DIGITAL (API),300A FREEZING POINT,300C FREEZING POINT,300E FREEZING POINT,300F FREEZING POINT,310 VISCOSITY @ -54蚓 (MM2/S),231A API GRAVITY,400C NET HEAT OF COMBUSTION MJ/KG,400D NET HEAT OF COMBUSTION MJ/KG,400E NET HEAT OF COMBUSTION MJ/KG,420 SMOKE POINT MM,500 COPPER STRIP CORROSION (2 H @ 100蚓),600A THERMAL STABILITY @ 275C,600B THERMAL STABILITY @ 260C,601 CHANGE IN PRESSURE,"602 TUBE DEPOSIT RATING, VISUAL",602A ELLIPSOMETRIC TUBE RATING,710 EXISTENT GUM,710IPA EXISTENT GUM,720A PARTICULATE MATTER,720B PARTICULATE MATTER,723 PARTICULATE COUNTING  >= 4 然,723A PARTICULATE COUNTING  ISO >= 4 然,724 PARTICULATE COUNTING= 6 然,724A PARTICULATE COUNTING ISO = 6 然,726 PARTICULATE COUNTING  >= 14 然,726A PARTICULATE COUNTING  ISO>= 14 然,727 PARTICULATE COUNTING  >= 21 然,727A PARTICULATE COUNTING  ISO>= 21 然,728 PARTICULATE COUNTING  >= 25 然,728A PARTICULATE COUNTING  ISO>= 25 然,729 PARTICULATE COUNTING  >= 30 然,729A PARTICULATE COUNTING  ISO>= 30 然,730 FILTRATION TIME,750 WSIM,750A MICROSEPAROMETER RATING,750B MICROSEPAROMETER RATING,800 ANTI-OXIDANT,802 ANTIOXIDANT CONCENTRATION,801 ANTIOXIDANT ADDITIVE INJECTION POINT,821 SDA INJECTION POINT,830A FSII,831FSII INJECTION POINT,840 CORROSION INHIBITOR,841 CI INJECTION POINT,842 CORROSION INHIBITOR CONCENTRATION,910A CALCULATED CETANE INDEX,910B CALCULATED CETANE INDEX,BATCH NUMBER,CRUDE PROCESS TECH,PRODUCT,REPORT DATE,SAMPLE NUMBER,SHIPMENT NUMBER,TANK NUMBER,120 NAPHTHALENE,725IPA PARTICULATE COUNTING,725IPB PARTICULATE COUNTING,725IPC PARTICULATE COUNTING,740 WATER REACTION INTERFACE RATING,812 METAL DEACTIVATOR CONCENTRATION,811 METAL DEACTIVATOR INJECTION POINT,820 STATIC DISSIPATER,900 ELECTRICAL CONDUCTIVITY,990A FAME CONTENT,990B FAME CONTENT
9/19/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000220646,"360,003",30,,0.019,21.1,0.001,,,,,,0.11,,,14,,,,,,138,163,174,201,250,1,271,1,0.8,40,,,,,0.812,42.8,,,-48,,4.4,,43,,,20,1A,600B  260C,,1,2,,1,,,0.2,,,,,,,,,,,,,4,,97,,,,,I,0.09,I,,I,,40.1,,,ATMOSPHERIC DISTILATION,JP8,9/16/2014,091614E-1076,DLA0918Z,E,2.6,,,,1,,,,411,,
9/22/2014,EFCK,FT. CAMPBELL AIRFIELD,Not assigned,#,50000014202,"59,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,1424,MILD HYDROPROCESSING,JP8,8/26/2014,1,DLA0918,94,,,,,,,,,234,,
9/23/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000014250,"315,504",,18,0.011,20.4,0.001,,,,0.15,,,,,,,13.4,PASS,,,177,195,202,221,249,,268,1,1,,61,,,,0.828,39.4,,-49,,,6.13,,43,,,20,1A,,,0,<1,,,,,0.1,,,,,,,,,,,,,3,,98,,800H,20,S,,,,840F,I,16.1,41.9,,5733,HYDROPROCESSING,JP8,8/26/2014,1140805605,DLA0906Z,1779,2.2,,,,,,,,,,
9/23/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000014251,"315,504",,19,0.006,18.9,0,,,,0.1,,,,,,,13.6,PASS,,,179,194,201,218,245,,265,1,1,,61,,,,0.826,39.7,,-51,,,5.85,,43,,,19.5,1B,,,0,<1,,,,,0.5,,,,,,,,,,,,,3,,98,,800H,20,S,,,,840F,I,16.1,41.2,,5733,HYDROPROCESSING,JP8,9/2/2014,1140900473,DLA0906Z,1778,1.9,,,,,,,,,,
9/23/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000248755,"315,504",,18,0.011,20.4,0.001,,,,0.15,,,,,,,13.4,PASS,,,177,195,202,221,249,,268,1,1,,61,,,,0.828,39.4,,-49,,,6.13,,43,,,20,1A,,,0,<1,,,,,0.1,,,,,,,,,,,,,3,,98,,800H,20,S,,,,840F,I,16.1,41.9,,5733,HYDROPROCESSING,JP8,8/26/2014,1140805605,DLA0906Z,1779,2.2,,,,,,,,,,
9/23/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000248752,"9,278",30,,0.019,21.8,0.001,,,,,,0.11,,,13.9,,,,,,133,163,174,200,249,1,269,1,0.8,38,,,,,0.815,42.1,,,-48,,4.4,,43,,,20,1A,600A  275C,,0,1,,1,,,0.2,,,,,,,,,,,,,5,,97,,,,,I,0.09,I,,I,,38.5,,,ATMOSPHERIC DISTILATION,JP8,9/21/2014,092114E-1106,DLA0922,E,2.7,,,,1,,,,233,,
9/23/2014,EORK,OA  S Korea,S-OIL CORPORATION DBA,WestPac JP8/JA1,10000248306,"10,074,440",26,,0.006,20.7,,NEGATIVE,,,,,0.15,,,14.5,,,PASS,,,148,167,174,195,240,,269,0.7,0.3,,41,,,,0.7941,46.6,-51,,,,3.707,,43.3,,,24.6,1A,,,0,1,,1,,,0.68,230,,54,,3,,1,,0,,0,,7,,91,,,18.5,S,,0.09,S,840B,S,9,,44.7,,ATMOSPHERIC DISTILLATION,JP8,9/15/2014,FULL SPECIFICATION ANALYS,,TK-85332,0.7,,,,1B,,,,,,
9/24/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000248264,"315,420",,18,0.007,19,0,,,,0.11,,,,,,,13.6,PASS,,,179,194,202,220,247,,266,0.9,1.2,,60,,,,0.827,39.6,,-50,,,6.02,,43,,,20,1A,,,0,<1,,,,,0,,,,,,,,,,,,,4,,97,,800H,20.3,S,,,,840F,I,14.8,41.6,,5734,HYDROPROCESSING,JP8,9/5/2014,1140901184,DLA0913Z,1772,2,,,,,,,,,,
9/24/2014,EOLM,"OA Liam, OH (OALM)",HUSKY MARKETING AND SUPPLY COMPANY,Inland East Gulf JP8 JP4 JAA,10000248762,"1,264,479",30,,0.002,16.3,0,,,,0,,,,,13.8,,,PASS,,,178,192,197,211,240,,256,1.1,0.8,,63,,,,,42.8,,-51,,,5.4,,43.3,,,23.8,1B,600A  275C,,0,0,,0,,,0.6,,,,,,,,,,,,,5,,87,,800G,20.7,S,,0.13,,840F,S,16.2,44.3,,DDU-081-361M,100% HYDROTREATED,JP8,9/6/2014,1549179,HUS0001Z,264,0.3,,,,1,,,,199,,
9/24/2014,EOLM,"OA Liam, OH (OALM)",HUSKY MARKETING AND SUPPLY COMPANY,Inland East Gulf JP8 JP4 JAA,10000248763,"1,051,425",30,,0.003,14.2,0,,,,0,,,,,13.8,,,PASS,,,176,191,197,211,240,,257,1.2,0.6,,64,,,,,42.8,,-50,,,5.4,,43.3,,,23.1,1B,600A  275C,,0,0,,0.8,,,0.7,,,,,,,,,,,,,5,,89,,800G,18.8,S,,0.13,,840F,S,13.6,44,,DDU-081-352M,100% HYDROTREATED,JP8,9/4/2014,1548840,HUS0001Z,263,0.2,,,,1,,,,228,,
9/25/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000248559,"358,108",30,,0.019,21.8,0.001,,,,,,0.1,,,13.9,,,,,,133,163,173,200,249,1,269,1,0.8,,38,,,0.8151,,,,,-48,,4.4388,42.1,43,,,20,1A,600A  275C,,0,1,,1,,,0.18,,,,,,,,,,,,,5,,97,,,,,I,0.09,I,840F,I,12.6219,38.5,,,ATMOSPHERIC DISTILLATION,JP8,9/22/2014,092114E-1106,DLA0922Z,E,2.7,,,,1,,,,411.4,,
9/26/2014,EG1N,GRAND FORKS,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000259376,"29,679",,15,0.006,15.4,0.001,,,,,,,0.01,,13.9,,,PASS,760,,143,171,180,205,250,21.1,281,1.2,,40,,,,,,44.4,,-51,,,4,,43.3,,,22,1A,,,,1,,,,,0.5,,,,,,,,,,,,,10,,98,,,,,,,,,,,44.8,,035-1,,JP8,8/28/2014,,DLA0919,10,1.5,,,,1,,,,,,
9/26/2014,EG1N,GRAND FORKS,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000259462,"30,105",,15,0.006,15.4,0.001,,,,,,,0.01,,13.9,,,PASS,760,,143,171,180,205,250,21.1,281,1.2,,40,,,,,,44.4,,-51,,,4,,43.3,,,22,1A,,,,1,,,,,0.5,,,,,,,,,,,,,10,,98,,,,,,,,,,,44.8,,035-1,,JP8,8/28/2014,,DLA0916,10,1.5,,,,1,,,,,,
9/26/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000014556,"315,420",,18,0.007,19,0,,,,0.11,,,,,,,13.6,PASS,,,179,194,202,220,247,,266,0.9,1.2,,60,,,,0.827,39.6,,-50,,,6.02,,43,,,20,1A,,,0,<1,,,,,0,,,,,,,,,,,,,4,,97,,800H,20.3,S,,,,840F,I,14.8,41.6,,5734,HYDROPROCESSING,JP8,9/5/2014,1140901184,DLA0913Z,1772,2,,,,,,,,,,
9/26/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000014558,"1,051,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-352M,100% HYDROTREATED,JP8,9/11/2014,1550032,HUS0001Z,263,,,,,,,,,,,
9/26/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000014559,"1,264,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-361M,100% HYDROTREATED,JP8,9/15/2014,1550678,HUS0001Z,264,,,,,,,,,,,
9/26/2014,EOLM,"OA Liam, OH (OALM)",HUSKY MARKETING AND SUPPLY COMPANY,Inland East Gulf JP8 JP4 JAA,10000248435,"1,049,904",30,,0.005,15.9,0,,,,0,,,,,13.8,,,PASS,,,177,192,196,211,239,,255,1.2,0.2,,62,,,,,42.8,,-51,,,5.8,,43.3,,,23.7,1B,600A  275C,,0,0,,0.4,,,0.2,,,,,,,,,,,,,5,,86,,800G,19.5,S,,0.13,,840F,S,16.5,44.1,,DDU-081-381M,100% HYDROTREATED,JP8,9/24/2014,1550370,HUS0001Z,263,0.2,,,,1,,,,188,,
9/26/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000248723,"18,597",30,,0.01,20.7,0,,,,,,0.1,,,13.9,,,,,,138,164,175,202,249,1,269,1,1,,38,,,0.816,,,-47,,,,4.9499,41.9,43,,,22,1A,600A  275C,,0.1,1,,1,,,0.21,,,,,,,,,,,,,5,,100,,,,,I,0.08,I,840F,I,15.3341,38.7,,,ATMOSPHERIC DISTILLATION,JP8,9/25/2014,092414F-1121,DLA0925,F,2.4,,,,1,,,,245,,
9/29/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000247441,"316,218",,23,0.007,21.8,0,,,,0.1,,,,,13.3,,,PASS,,,180,196,204,221,248,,267,1.1,1.3,,62,,,,0.831,38.8,,-50,,,6.29,,42.9,,,19,1A,,,0,<1,,,,,0.2,,,,,,,,,,,,,3,,99,,800H,20,S,,,,840F,I,16.7,40.8,,5735,HYDROPROCESSING,JP8,9/15/2014,1140903466,DLA0921Z,1778,2.1,,,,,,,,,,
9/29/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000259866,"360,002",30,,0.01,20.7,0.001,,,,,,0.11,,,13.9,,,,,,138,164,175,202,250,1,269,1,1,39,,,,,0.816,41.9,,,-48,,4.9,,43,,,22,1A,600A  275C,,0,1,,1,,,0.2,,,,,,,,,,,,,5,,100,,,,,I,0.09,I,,I,,38.7,,,ATMOSPHERIC DISTIOLATION,JP8,9/25/2014,092514F-1121,DLA0925Z,F,2.4,,,,1,,,,434,,
9/30/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000253473,"314,412",,22,0.006,19.6,0.001,,,,0.11,,,,,13.5,,,PASS,,,178,194,200,218,245,,265,1,0.7,,61,,,,0.826,39.8,,-50,,,5.88,,43,,,19.5,1B,,,0,<1,,,,,0.1,,,,,,,,,,,,,3,,97,,800H,20,S,,,,840F,I,15.9,41.5,,5736,HYDROPROCESSING,JP8,9/20/2014,1140904577,DLA0929Z,1772,1.6,,,,,,,,,,
9/30/2014,EOLM,"OA Liam, OH (OALM)",HUSKY MARKETING AND SUPPLY COMPANY,Inland East Gulf JP8 JP4 JAA,10000263602,"838,899",30,,0.005,15.9,0,,,,0,,,,,13.8,,,PASS,,,177,192,196,211,239,,255,1.2,0.2,,62,,,,,42.8,,-51,,,5.8,,43.3,,,23.7,1B,600A  275C,,0,0,,0.4,,,0.2,,,,,,,,,,,,,5,,86,,800G,19.5,S,,0.13,,840F,S,16.5,44.1,,DDU-081-391M,100% HYDROTREATED,JP8,9/13/2014,1550370,HUS0001Z,263,0.2,,,,1,,,,188,,
10/1/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000014850,"1,051,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-242M,100% HYDROTREATED,JP8,6/16/2014,1534389,,264,,,,,,,,,,,
10/2/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000014963,"314,412",,22,0.006,19.6,0.001,,,,0.11,,,,,13.5,,,PASS,,,178,194,200,218,245,,265,1,0.7,,61,,,,0.826,39.8,,-50,,,5.88,,43,,,19.5,1B,,,0,<1,,,,,0.1,,,,,,,,,,,,,3,,97,,800H,20,S,,,,840F,I,15.9,41.5,,5736,HYDROPROCESSING,JP8,9/20/2014,1140904577,DLA0929Z,1772,1.6,,,,,,,,,,
10/2/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000014964,"314,412",,22,0.005,20.1,0.001,,,,0.09,,,,,13.4,,,PASS,,,180,196,202,218,242,,261,0.9,0.8,,63,,,,0.825,39.8,,-50,,,5.91,,43,,,20,1A,,,0,<1,,,,,0.4,,,,,,,,,,,,,4,,98,,800H,20,S,,,,840F,I,15.9,41.4,,5736,HYDROPROCESSING,JP8,9/27/2014,1140906190,DLA0929Z,1772,1.7,,,,,,,,,,
10/2/2014,EOBA,"OA Bay Area, CA",Not assigned,#,50000014972,"316,218",,23,0.007,21.8,0,,,,0.1,,,,,13.3,,,PASS,,,180,196,204,221,248,,267,1.1,1.3,,62,,,,0.831,38.8,,-50,,,6.29,,42.9,,,19,1A,,,0,<1,,,,,0.2,,,,,,,,,,,,,3,,99,,800H,20,S,,,,840F,I,16.7,40.8,,5735,HYDROPROCESSING,JP8,9/15/2014,1140903466,DLA0921Z,1778,2.1,,,,,,,,,,
10/2/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000014900,"1,680,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-243M,100% HYDROTREATED,JP8,6/23/2014,1535662,,264,,,,,,,,,,,
10/2/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000014971,"838,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-391M,100% HYDROTREATED,JP8,9/28/2014,1553200,HUS0001Z,263,,,,,,,,,,,
10/2/2014,EOLM,"OA Liam, OH (OALM)",Not assigned,#,50000014975,"1,049,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDU-081-381M,100% HYDROTREATED,JP8,9/25/2014,1552518,HUS0001Z,263,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014911,"10,072,091",27,,,,,,,,,,,,,,,,PASS,,,149,169,176,198,240,,267,0.3,1,,43,,,,0.7955,46.3,,,,-50,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,8,,,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/9/2014,QAR WITNESS TEST,,TK-85332,,,,,1B,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014913,"10,072,091",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,43,,,,0.7955,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/10/2014,LOAD ARM,,VESSEL,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014914,"10,072,091",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,0.7955,46.3,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,7,,,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/10/2014,FIRST-IN,,VESSEL,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014916,"10,074,440",26,,,,,,,,,,,,,,,,PASS,,,149,167,175,196,240,,168,1,0.3,,41,,,,,46.4,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,92,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/19/2014,QAR WITNESS TEST,,TK-85332,,,,,1B,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014919,"10,074,440",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,,46.4,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/20/2014,FIRST-IN,,TK-85332,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014920,"10,074,440",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/21/2014,MIDDLE(LINE),,TK-85332,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014933,"10,072,091",28,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,,,,,0.7955,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/11/2014,MIDDLE,,VESSEL,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014934,"10,072,091",27,,,,,,,,,,,,,,,,PASS,,,148,169,176,198,240,,268,0.4,1,,43,,,,0.7955,46.3,,,,-50,,,,,,,1A,,,,,,,,,0.73,,,,,,,,,,,,,7,,,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/11/2014,VESSEL FINAL,,VESSEL,,,,,1B,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014912,"10,072,091",,28,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,44,,,,0.7955,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/10/2014,LINE FLUSHING,,VESSEL,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014917,"10,074,440",,26,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,41,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/20/2014,LINE FLUSHING,,TK-85332,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014918,"10,074,440",,27,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/20/2014,LOADING ARM,,TK-85332,,,,,,,,,,,
10/2/2014,EORK,OA  S Korea,Not assigned,#,50000014921,"10,074,440",,26,,,,,,,,,,,,,,,PASS,,,149,167,174,195,240,,268,1,0.3,,42,,,,,46.4,-51,,,,,,,,,,1A,,,,,,1,,,0.6,,,,,,,,,,,,,,,96,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/21/2014,VESSEL FINAL,,TK-85332,,,,,1B,,,,,,
10/14/2014,EG1N,GRAND FORKS,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000292202,"37,822",,,0.006,14.8,0.001,,,,,,,0.01,,13.9,,,PASS,760,,142,171,180,205,251,21.1,283,1.1,0.4,39,,,,,0.804,44.4,,-50,,,4,,43.3,,,22,1A,,,,1,,3,,,1,,,,,,,,,,,,,10,,98,,,,,,,,,,,44.8,,035-1,,JP8,9/10/2014,,DLA1014,4,1.8,,,,1,,,,,,
10/14/2014,EHQ8,Non-Card CD Plant,PETRO STAR INC.,Alaska GRND,10000278794,"4,948",-30,,-0.016,-20,-0.001,,,,,,-0.1,,,-13.9,,,,,,-137,-165,-176,-202,-248,1,-268,-1,-0.6,-41,,,,,-0.82,-41.9,,,48,,-4.9,,-43,,,-21,1A,600B  260C,,0,>4A,,-1,,,,,,,,,,,,,,,,-4,,-95,,,,,I,,I,,I,,-38.6,,,ATMOSPHERIC DISTILATION,JP8,10/6/2014,100614F-1185,DLA1009Z,F,-2.6,,,,1,,,,,,
10/22/2014,ECFK,Fort Campbell 1,Not assigned,#,50000015802,"22,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,1424,MILD HYDROPROCESSING,JP8,9/16/2014,1,,94,,,,,,,,,182,,
10/22/2014,ECFK,Fort Campbell 1,HUNT REFINING COMPANY,#,10000301903,"22,363",30,,0.003,16.5,0,NEGATIVE,,,,,0,,,14,,,PASS,,,164,178,181,193,225,,247,1.1,0.5,51,,,,,0.7906,47.5,,,,-57,3.679,,43.4,,,25,1A,600A  275C,,0,1,,0.2,,,0.58,,,,,,,,,,,,,3,,99,,,17.7,S,I,,I,,S,9.4,,45.1,1424,MILD HYDROPROCESSING,JP8,8/26/2014,1,,94,0.1,,,,1B,,,1,,,
10/31/2014,EOAT,OA Greece,MOTOR OIL (HELLAS) CORINTH,1.1G,10000319026,"11,768,625",-9,,-0.009,-15.6,-0.0017,POSITIVE,,,-0.28,,,,,,-14,,PASS,,,-151,-166,-174,-195,-239,,-260,-1.2,-0.8,,-44,,,,-0.793,,50,,,,-3.94,,-43.3,,,-25,1A,,600B  260C,0,1,,-2,,,-0.73,,,,,,,,,,,,,-5,,-96,,,,,,,,,,,,,,,JP8,10/26/2014,,,753,,,,,1B,,,,,1,
11/10/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000354302,"360,003",,,0.015,20.3,0.001,,,,,,0.1,,,,,,,,,134,162,172,198,248,,266,1,1.5,40,,,,,0.815,42.2,,,-49,,4.7,,43,,,21,1A,,,0,1,,,1.6,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,ATMOSPHERIC DISTILATION,JP8,11/2/2014,110214F-1305,DLA1105Z,F,2.5,,,,,,,,242,,
11/14/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000365016,"360,019",,,0.016,20.9,0.001,,,,,,0.1,,,,,,,,,137,160,170,197,249,,272,1,0.8,40,,,,,0.814,42.4,,,-49,,4.5,,43,,,21,1A,,,1,1,,,1,,,,,,,,,,,,,,,,,100,,,,,,0.09,,,,,,,,,JP8,11/9/2014,,DLA1112Z,E,2.3,,,,,,,,407,,
11/14/2014,EORK,OA  S Korea,S-OIL CORPORATION DBA,WestPac JP8/JA1,10000365259,"10,082,389",27,,0.004,21.1,,NEGATIVE,,,,,,0.21,,,,13.9,PASS,,,,170,177,199,239,,263,0.3,1,,43,,,,0.794,46.6,-50,,,,3.702,,,,43.3,24.3,1A,,,0,1,,1,,,0.61,681,,214,,6.6,,0.8,,0.3,,0.2,,8,,98,,,18.5,,,0.08,,840B,,9,48.4,,,ATMOSPHERIC DISTILLATION,JP8,11/5/2014,FULL SPEC TEST,,TK-85331,0.7,,,,1B,,,,,,
11/18/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000400987,"19,275",,,0.02,20.6,0.001,,,,,,0.1,,,,,,,,,137,160,170,198,250,,270,1,0.8,41,,,,0.814,,42.3,,,-48,,4.2,,43,,,21,1A,,,0,0,,,1,,,,,,,,,,,,,,,,,100,,,,,,0.07,,,,,,,,ATMOSPHERIC DISTILATION,JP8,11/15/2014,111514D-1348,DLA1117,D,2.3,,,,,,,,154,,
11/20/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000390458,"360,003",,,0.02,21.2,0.001,,,,,,0.1,,,,,,,,,137,161,168,197,248,,269,1,0.4,38,,,,,0.813,42.5,,,-48,,4.7,,43,,,21,1A,,,0,1,,,1,,,,,,,,,,,,,,,,,100,,,,,,0.09,,,,,,,,ATMOSPHERIC DISTILATION,JP8,11/17/2014,111714E-1357,DLA1119Z,E,2.4,,,,,,,,489,,
